a,b
https://naturalia.fr/baguette-classique-sg-360g,https://www.greenweez.com/schnitzer-cake-citron-sans-gluten-200gr-p68952
https://naturalia.fr/bioflan-citron-2x1-4l,https://www.greenweez.com/natali-bioflan-citron-sans-sucre-7g-p29384
https://www.greenweez.com/soy-galettes-grinioc-riz-legumes-et-safran-2x100g-p85985,https://www.webecologie.com/boisson-a-base-de-riz/9411-boisson-au-riz-de-camargue-3259011091270.html
https://naturalia.fr/soba-40-250g,https://www.webecologie.com/pates-bio/3998-nouilles-a-base-sarrasin-complet-soba-100-5411788046091.html?PageSpeed=noscript
https://naturalia.fr/soya-party-70g,https://www.greenweez.com/soy-graines-de-soja-toastees-nature-p24107
https://naturalia.fr/biere-grenade-6x25cl,https://www.greenweez.com/jade-biere-ambree-bio-jade-6x25cl-p104094
https://naturalia.fr/falafel-ging-coriandre-200g,https://www.greenweez.com/lima-prune-umeboshi-200g-p83015
https://www.carrefour.fr/p/petits-pots-bebe-des-8-mois-carotte-quinoa-babybio-3288131510552,https://www.webecologie.com/petit-pot/131-petits-pots-mouline-de-carotte-des-landes-quinoa-3288131510552.html?PageSpeed=noscript
https://naturalia.fr/panna-cotta-45g,https://www.webecologie.com/farine-bio-aide-a-la-patisserie/9062-preparation-creme-brulee-3176800033412.html
https://www.carrefour.fr/p/plat-bebe-des-8-mois-legumes-babybio-3288131520872,https://www.webecologie.com/petit-pot/114-petit-pot-bio-jardiniere-de-legumes-3288131510439.html?PageSpeed=noscript
https://www.greenweez.com/pronatura-dattes-deglet-nour-ravier-demeter-250g-p99667,https://www.webecologie.com/fruits-secs/10006-dattes-mazafati-3760099532949.html
https://naturalia.fr/gaspacho-vert-500g,https://www.greenweez.com/danival-fondue-de-poireaux-500g-p107932
https://www.greenweez.com/primeal-veloute-de-champignons-1l-p76818,https://www.webecologie.com/champignon-algue-bio/7436-champignons-de-paris-eminces-3380390500302.html?PageSpeed=noscript
https://naturalia.fr/tamari-strong-145ml,https://www.webecologie.com/epice-condiment-bio/3882-sauce-de-soja-fermente-bio-tamari-145-ml-5411788044745.html?PageSpeed=noscript
https://www.greenweez.com/bio-par-coeur-mayonnaise-a-la-moutarde-de-dijon-bio-315g-p45830,https://www.webecologie.com/sauce-bio/9041-mayonnaise-tube-3700477609016.html
https://naturalia.fr/lentilles-vertes-carottes-250g,https://www.greenweez.com/beendhi-assaisonnement-bouquet-garni-et-legumes-40g-p101771
https://www.greenweez.com/yogi-tea-infusion-bonheur-17-sachets-p5466,https://www.webecologie.com/yogi-tea/9916-infusion-bonheur-4012824401471.html
https://www.carrefour.fr/p/miel-cremeux-de-tilleul-bio-rigoni-di-asiago-8001505000900,https://www.greenweez.com/rigoni-di-asiago-miel-cremeux-d-oranger-bio-italie-300g-p81211
https://www.carrefour.fr/p/petits-pots-bebe-des-4-mois-carotte-potimarron-babybio-3288131510422,https://www.webecologie.com/petit-pot/118-petit-pot-bio-carotte-potimaron-3288131510422.html?PageSpeed=noscript
https://naturalia.fr/potage-cepes-17g,https://www.webecologie.com/soupe-bio/3785-potabio-aux-cepes-bio-3176800031890.html
https://www.carrefour.fr/p/the-bio-vert-gingembre-citron-vert-ethiquable-3760091720160,https://www.greenweez.com/ethiquable-gourdes-ananas-citron-vert-4x90g-p86164
https://www.carrefour.fr/p/lait-bebe-liquide-des-10-mois-babybio-3288131500072,https://www.greenweez.com/babybio-caprea-3-lait-de-croissance-au-lait-de-chevre-bio-des-10-mois-p80643
https://www.greenweez.com/pural-pain-complet-au-seigle-pumpernickel-375-g-p99351,https://www.webecologie.com/pains/10929-pain-complet-riz-sans-gluten-3184340865066.html
https://www.greenweez.com/primeal-macaroni-demi-completes-5kg-p108290,https://www.webecologie.com/pates-bio/2972-macaroni-demi-complets-bio-3380390187404.html
https://naturalia.fr/croc-seitan-indienne,https://www.greenweez.com/soy-galettes-croc-seitan-a-l-indienne-2x100g-p85965
https://naturalia.fr/galettes-choc-orange-100g,https://www.greenweez.com/evernat-galettes-de-riz-chocolat-orange-90g-p47645
https://naturalia.fr/potage-algues-17g,https://www.webecologie.com/soupe-bio/8807-potabio-algues-2x85g-3176800031852.html
https://www.carrefour.fr/p/lait-bebe-en-poudre-des-10-mois-babybio-3288131500058,https://www.greenweez.com/babybio-caprea-3-lait-de-croissance-au-lait-de-chevre-bio-des-10-mois-p80643
https://www.carrefour.fr/p/plat-bebe-des-8-mois-aubergines-babybio-3288131520513,https://www.greenweez.com/babybio-boudoirs-bio-des-8-mois-p3375
https://www.greenweez.com/danival-epinards-en-branche-en-bocal-340g-p107181,https://www.webecologie.com/conserve-plat-cuisine-bio/7709-epinards-branche-3431590001479.html
https://naturalia.fr/boisson-noix-de-cajou-coco-1l,https://www.greenweez.com/bonneterre-boisson-amande-caramel-pointe-de-sel-1l-p80205
https://naturalia.fr/filets-de-tofu-160g,https://www.greenweez.com/taifun-filet-de-tofu-a-la-japonaise-2x80g-p86009
https://www.carrefour.fr/p/lait-bebe-en-poudre-2eme-age-babybio-3288131580029,https://naturalia.fr/caprea-2eme-age-900g
https://naturalia.fr/lasagne-500g,https://www.greenweez.com/bonneterre-pates-farfalle-papillons-500g-p60380
https://www.greenweez.com/primeal-pois-chiches-500-g-p5600,https://www.webecologie.com/legumineuses-bio/11483-pois-chiches-a-la-libanaise-3380380083778.html
https://naturalia.fr/boisson-avoine-vanille-1l,https://www.greenweez.com/lima-boisson-vegetale-d-avoine-a-l-extrait-de-vanille-1l-p14093
https://www.greenweez.com/pain-de-mer-thon-au-naturel-270gr-p71165,https://www.webecologie.com/conserve-plat-cuisine-bio/7076-thon-au-naturel-8412439285101.html
https://naturalia.fr/barre-pomme-poire-27g,https://www.greenweez.com/holle-barre-pomme-poire-pour-bebe-25g-p6485
https://www.greenweez.com/primeal-quinoa-1kg-p5485,https://www.webecologie.com/cereales-bio-petit-dejeuner/4697-quinoa-souffle-3380390410601.html
https://www.greenweez.com/pain-de-mer-sardines-a-la-tomate-120gr-p71162,https://www.webecologie.com/conserve-plat-cuisine-bio/9225-sardines-a-la-tomate-8412439285163.html
https://www.greenweez.com/coteaux-nantais-puree-pomme-kiwi-360g-p102897,https://www.webecologie.com/dessert-bio/3685-puree-de-pomme-myrtille-bio-360-g-3301597000747.html
https://naturalia.fr/290g-pure-orang-bio-vitagermin,https://www.webecologie.com/confiture-bio/11105-confiture-delice-orange-sans-sucre-ajoute-3288131114255.html
https://www.greenweez.com/vitabio-confiture-delice-de-myrtille-bio-290g-p15090,https://www.webecologie.com/confiture-bio/11104-confiture-delice-myrtille-sans-sucre-ajoute-3288131114200.html?PageSpeed=noscript
https://naturalia.fr/jus-breuss-lf-500ml,https://www.greenweez.com/biotta-jus-breuss-fruite-bouteille-500ml-p102348
https://naturalia.fr/bonhomme-pain-epices-75g,https://www.greenweez.com/belledonne-monsieur-noel-pain-d-epices-75g-p105141
https://naturalia.fr/kombucha-citron-50cl,https://www.greenweez.com/karma-frais-kombucha-citron-500ml-p101853
https://www.carrefour.fr/p/chocolat-bio-noir-perou-88-ethiquable-3760091725554,https://www.greenweez.com/ethiquable-chocolat-noir-88-cacao-perou-bio-100g-p83770
https://www.greenweez.com/novita-flocons-de-levure-nature-bio-100g-p23237,https://www.webecologie.com/epice-condiment-bio/4058-flocons-de-levure-maltee-bio-3455270153500.html
https://www.carrefour.fr/p/compote-en-gourdes-bio-pomme-peche-abricot-acerola-vitabio-3288132650035,https://naturalia.fr/360g-vitabio-cool-frt-jaunes
https://naturalia.fr/grand-petit-beurre-240g,https://www.webecologie.com/biscuit-bio/2750-petit-beurre-tradition-bio-3396410030650.html
https://www.greenweez.com/cook-carvi-graines-bio-cook-45-g-p9497,https://www.webecologie.com/epice-condiment-bio/3899-carvi-graines-bio-3417960022565.html
https://www.greenweez.com/primeal-millet-decortique-1-kg-p5502,https://www.webecologie.com/cereales-bio/6964-millet-500-g-3380380055256.html
https://naturalia.fr/bol-pdt-artichaut-2x200g-3034250,https://www.webecologie.com/assiette-bol/9165-bols-bebe-puree-de-pomme-de-terre-du-val-de-loire-artichaut-2x-200g-3288131520285.html?PageSpeed=noscript
https://www.greenweez.com/primeal-epeautre-complet-500-g-p5492,https://www.webecologie.com/pates-bio/2980-spaghetti-complet-epeautre-bio-3380390166805.html
https://www.greenweez.com/germ-line-graines-a-germer-bio-d-alfalfa-150g-p19377,https://www.webecologie.com/graines-bio-graines-a-germer/7008-graines-de-brocoli-a-germer-3465511107155.html?PageSpeed=noscript
https://naturalia.fr/riz-lg-bl-indica-italie-500g,https://www.webecologie.com/riz-bio/3107-riz-long-blanc-parfume-3329485451204.html
https://www.greenweez.com/primeal-spirales-completes-a-l-epeautre-p5663,https://www.webecologie.com/pates-bio/9680-spirales-a-la-spiruline-3380390166508.html
https://www.carrefour.fr/p/petits-pots-bebe-des-6-mois-carotte-patate-ble-babybio-3288131510590,https://www.greenweez.com/babybio-petits-pots-carotte-patate-douce-ble-6-mois-2x200g-p9660
https://www.greenweez.com/-p68380,https://www.webecologie.com/legumineuses-bio/3821-flocons-de-pois-chiches-bio-3273120019451.html
https://www.greenweez.com/vecteur-sante-biscuits-5-cereales-ss-sucre-sel-bio-225g-p78368,https://www.webecologie.com/biscuit-bio/3737-biscuits-dietetiques-5-cereales-3165830012061.html
https://www.greenweez.com/primeal-lentilles-corail-bio-500-g-p5587,https://www.webecologie.com/legumineuses-bio/3152-lentilles-corail-bio-1-kg-3380390202305.html
https://www.carrefour.fr/p/pate-a-tartiner-bio-aux-noisettes-ethiquable-3760091727084,https://www.greenweez.com/ethiquable-pate-a-tartiner-aux-noisettes-equateur-bio-350g-p83658
https://naturalia.fr/360g-vitabio-cool-frt-jaunes,https://www.webecologie.com/dessert-bio/154-cool-fruits-pomme-peche-abricot-acerola-3288132600139.html
https://naturalia.fr/cranberries-sachet-125g,https://www.greenweez.com/pronatura-cranberries-sachet-125g-p46072
https://www.greenweez.com/maison-meneau-sirop-de-grenadine-bio-50-cl-p6026,https://www.webecologie.com/sirops-bio/4525-sirop-de-grenadine-bio-1l-3274490970588.html
https://naturalia.fr/assaisonnette-provencale-36cl,https://www.greenweez.com/quintesens-vinaigrette-assaisonnette-la-provencale-36cl-p80368
https://naturalia.fr/rice-drink-calcium-1l,https://www.greenweez.com/lima-boisson-au-riz-enrichie-en-calcium-1l-p107100
https://naturalia.fr/creme-fraiche-de-brebis-20-cl,https://www.greenweez.com/biochamps-creme-fraiche-lait-de-brebis-200gr-p85427
https://www.greenweez.com/celnat-umebosis-prunes-japonaises-en-saumure-1kg-p90641,https://www.webecologie.com/epice-condiment-bio/5384-umebozis-prunes-japonaises-en-saumure-bio-3273120021102.html?PageSpeed=noscript
https://www.greenweez.com/primeal-coquillettes-blanches-natures-500-g-p5618,https://www.webecologie.com/pates-bio/2969-coquillettes-blanches-bio-3380390191401.html
https://naturalia.fr/limonade-antan-33cl,https://www.webecologie.com/jus-de-fruits-bio/5262-limonade-bio-d-antan-3289196820013.html?PageSpeed=noscript
https://www.greenweez.com/markal-preparation-base-brioche-1kg-p87225,https://www.webecologie.com/farine-bio-aide-a-la-patisserie/5251-preparation-de-base-pour-brioche-bio-3329486931125.html?PageSpeed=noscript
https://naturalia.fr/4x90gvit-col-fr-pom-mang-anan,https://www.webecologie.com/dessert-bio/9575-cool-fruits-pomme-mangue-ananas-acerola-3288131650050.html
https://www.greenweez.com/bonneterre-mon-p-tit-4-heures-biscuits-fourres-chocolat-185gr-p80089,https://www.webecologie.com/biscuit-bio/5956-mon-p-tit-4-heures-3396410047801.html
https://www.greenweez.com/primeal-boulgour-de-riz-500-g-p5562,https://www.webecologie.com/cereales-bio/3028-boulgour-de-riz-bio-3380390002417.html
https://naturalia.fr/croustilles-chevre-100g,https://www.webecologie.com/aperitif-bio/9385-croustilles-chevre-3396411222801.html
https://www.greenweez.com/primeal-mais-doux-bio-330g-p42255,https://www.webecologie.com/conserve-plat-cuisine-bio/10420-mais-doux-3700477609214.html
https://www.greenweez.com/nature-et-aliments-preparation-biocreme-vanille-35g-p23172,https://www.webecologie.com/dessert-bio/9059-preperation-biocreme-vanille-3176800033368.html
https://naturalia.fr/lentilles-pt-legum-525g,https://www.webecologie.com/conserve-plat-cuisine-bio/3751-lentilles-petits-legumes-bio-3431590000229.html
https://www.greenweez.com/mamie-bio-puree-de-pomme-france-framboise-680g-p79956,https://www.webecologie.com/dessert-bio/10342-puree-pomme-framboise-3760020507893.html
https://www.greenweez.com/jean-herve-puree-de-noisettes-bio-700g-p24061,https://www.webecologie.com/pate-a-tartiner-bio/3650-puree-de-noisettes-bio-350-g-3390390000061.html?PageSpeed=noscript
https://www.greenweez.com/markal-graines-de-courge-3kg-p76467,https://www.webecologie.com/graines-bio-graines-a-germer/3120-graines-de-courges-decortiquees-bio-250-g-3329488211256.html?PageSpeed=noscript
https://naturalia.fr/rice-drink-500ml,https://www.webecologie.com/boisson-a-base-de-riz/8051-rice-drink-natural-bouteille-5411788042550.html?PageSpeed=noscript
https://www.greenweez.com/rapunzel-gaufrettes-au-chocolat-100g-p84373,https://www.webecologie.com/biscuit-bio/3538-gaufrettes-au-chocolat-bio-4006040191001.html
https://naturalia.fr/cake-citron-pavot-250g,https://www.greenweez.com/bonneterre-cake-gourmand-citron-pavot-250gr-p80107
https://www.greenweez.com/destination-the-vert-nature-ceylan-20x2g-p48722,https://www.webecologie.com/the-vert/6481-the-vert-nature-20x2g-3700110008121.html
https://naturalia.fr/yannoh-instant-recharge-250g,https://www.webecologie.com/succedane-de-cafe-bio/4115-yannoh-instant-original-bio-250g-5411788003612.html
https://www.greenweez.com/bonneterre-cocktail-de-jus-de-legumes-bio-75cl-p88718,https://www.webecologie.com/jus-de-legumes-bio/2966-jus-de-legumes-du-potager-bio-3396410021139.html
https://naturalia.fr/tart-craquante-figue-150g,https://www.greenweez.com/le-pain-des-fleurs-tartines-craquantes-a-la-figue-150g-p69323
https://www.greenweez.com/primeal-trio-de-lentilles-5kg-p108287,https://www.webecologie.com/legumineuses-bio/3159-trio-lentilles-bio-3380380037283.html
https://www.greenweez.com/destination-the-noir-earl-grey-fleurs-bleues-bio-15-sachets-p81662,https://www.webecologie.com/the-noir/6485-earl-grey-fleurs-bleues-the-noir-bergamote-bleuets-bio-3700111084704.html?PageSpeed=noscript
https://www.greenweez.com/jean-herve-puree-de-sesame-blanc-350g-p26727,https://www.webecologie.com/pate-a-tartiner-bio/3657-puree-de-sesame-blanc-tahin-3390390001747.html
https://www.greenweez.com/celnat-gros-flocons-d-avoine-500g-p48280,https://www.webecologie.com/cereales-bio/3823-gros-flocons-d-avoine-bio-3273120010731.html
https://www.greenweez.com/danival-quenelles-a-la-tomate-490g-p107943,https://www.webecologie.com/conserve-plat-cuisine-bio/4081-quenelles-sauce-tomate-bio-3431590002100.html
https://www.greenweez.com/bonneterre-barres-sesame-cranberries-3x25gr-p80234,https://www.webecologie.com/barres-de-cereales-bio/6921-barres-sesame-cranberries-3396410215682.html
https://www.greenweez.com/nature-et-aliments-levure-bio-2x7grammes-p11992,https://www.webecologie.com/farine-bio-aide-a-la-patisserie/3727-poudre-a-lever-bio-3176800001268.html
https://www.greenweez.com/bonneterre-boisson-avoine-calcium-1l-p80201,https://www.webecologie.com/boisson-a-base-d-avoine/11315-boisson-avoine-calcium-3396411221958.html
https://www.greenweez.com/destination-the-noir-legende-de-darjeeling-n-65-inde-100g-p84929,https://www.webecologie.com/the-noir/3220-the-noir-bio-darjeeling-1er-cru-100-g-3700110008305.html?PageSpeed=noscript
https://naturalia.fr/boisson-millet-noiset-amand-1l,https://www.greenweez.com/bonneterre-boisson-millet-amande-noisette-1l-p80191
https://www.greenweez.com/markal-graines-de-tournesol-decortiquees-250g-p76473,https://www.webecologie.com/graines-bio-graines-a-germer/5176-graines-de-tournesol-decortiquees-bio-250-g-3329488411250.html?PageSpeed=noscript
